FlushFlashMemory command sent, waiting for new packets
02:55:870	Tue Apr 10 01:02:55 PDT 2012 15 3 41 2 0 0 50 213 90
02:55:965	Tue Apr 10 01:02:55 PDT 2012 15 3 41 2 0 1 50 213 98
02:55:965	Tue Apr 10 01:02:55 PDT 2012 15 3 41 2 0 2 50 214 93
02:55:966	Tue Apr 10 01:02:55 PDT 2012 15 3 41 2 0 3 50 212 89
02:55:966	Tue Apr 10 01:02:55 PDT 2012 15 3 41 2 0 6 50 212 86
02:55:966	Tue Apr 10 01:02:55 PDT 2012 15 3 41 2 0 7 50 212 78
02:55:966	Tue Apr 10 01:02:55 PDT 2012 15 3 41 2 0 8 50 212 92
02:55:966	Tue Apr 10 01:02:55 PDT 2012 15 3 41 2 0 9 50 212 88
02:55:967	Tue Apr 10 01:02:55 PDT 2012 15 3 41 2 0 10 50 212 88
02:56:76	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 11 50 214 97
02:56:76	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 12 50 211 78
02:56:76	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 15 50 213 96
02:56:78	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 16 50 215 96
02:56:78	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 17 50 214 94
02:56:79	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 18 50 214 98
02:56:79	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 19 50 212 84
02:56:79	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 20 50 216 101
02:56:144	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 21 50 213 92
02:56:145	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 22 50 212 91
02:56:146	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 23 50 214 92
02:56:146	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 24 50 215 100
02:56:147	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 26 50 216 99
02:56:147	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 27 50 213 93
02:56:159	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 28 50 213 84
02:56:176	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 29 50 212 85
02:56:289	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 30 50 212 80
02:56:292	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 31 50 212 88
02:56:292	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 32 50 213 94
02:56:293	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 33 50 213 89
02:56:293	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 34 50 214 100
02:56:293	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 35 50 214 94
02:56:293	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 39 50 215 96
