FlushFlashMemory command sent, waiting for new packets
02:55:870	Tue Apr 10 01:02:55 PDT 2012 15 3 41 2 0 0 50 213 90
02:56:293	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 40 50 214 97
02:56:406	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 41 50 214 94
02:56:407	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 42 50 214 88
02:56:407	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 43 50 214 101
02:56:407	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 44 50 214 91
02:56:407	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 45 50 215 96
02:56:408	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 46 50 214 96
02:56:408	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 47 50 214 99
02:56:408	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 48 50 214 92
02:56:458	Tue Apr 10 01:02:56 PDT 2012 15 3 41 2 0 49 50 214 93
02:56:458	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 0 50 214 100
02:56:458	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 1 50 214 93
02:56:458	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 2 50 213 95
02:56:459	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 3 50 214 99
02:56:473	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 4 50 213 91
02:56:486	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 5 50 215 98
02:56:600	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 6 50 213 91
02:56:601	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 7 50 215 97
02:56:601	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 8 50 214 88
02:56:601	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 9 50 214 96
02:56:601	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 10 50 214 93
02:56:601	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 11 50 214 98
02:56:602	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 12 50 213 92
02:56:602	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 13 50 215 99
02:56:706	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 14 50 214 97
02:56:706	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 15 50 213 92
02:56:707	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 16 50 214 91
02:56:707	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 17 50 214 102
02:56:707	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 18 50 213 85
02:56:707	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 19 50 214 94
02:56:707	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 20 50 214 96
02:56:708	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 21 50 213 90
02:56:782	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 22 50 213 84
02:56:783	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 23 50 213 82
02:56:783	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 24 50 213 87
02:56:783	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 25 50 213 94
02:56:783	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 28 50 213 93
02:56:783	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 29 50 213 90
02:56:797	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 30 50 212 86
02:56:905	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 31 50 213 85
02:56:905	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 33 50 211 71
02:56:905	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 35 50 214 90
02:56:906	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 36 50 213 90
02:56:906	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 37 50 213 89
02:56:907	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 38 50 213 90
02:56:907	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 39 50 213 94
02:56:908	Tue Apr 10 01:02:56 PDT 2012 16 3 41 2 0 40 50 213 98
02:57:22	Tue Apr 10 01:02:57 PDT 2012 16 3 41 2 0 41 50 214 96
02:57:22	Tue Apr 10 01:02:57 PDT 2012 16 3 41 2 0 42 50 213 95
02:57:23	Tue Apr 10 01:02:57 PDT 2012 16 3 41 2 0 43 50 213 93
02:57:23	Tue Apr 10 01:02:57 PDT 2012 16 3 41 2 0 44 50 212 86
02:57:23	Tue Apr 10 01:02:57 PDT 2012 16 3 41 2 0 45 50 212 84
02:57:24	Tue Apr 10 01:02:57 PDT 2012 16 3 41 2 0 46 50 212 87
02:57:25	Tue Apr 10 01:02:57 PDT 2012 16 3 41 2 0 47 50 214 95
02:57:25	Tue Apr 10 01:02:57 PDT 2012 16 3 41 2 0 48 50 215 95
02:57:78	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 1 50 213 93
02:57:78	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 3 50 211 80
02:57:78	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 4 50 213 92
02:57:78	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 5 50 213 93
02:57:78	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 6 50 213 82
02:57:91	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 7 50 215 97
02:57:202	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 8 50 213 95
02:57:202	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 9 50 213 79
02:57:203	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 10 50 215 102
02:57:203	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 11 50 215 98
02:57:203	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 12 50 215 99
02:57:203	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 13 50 214 92
02:57:205	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 16 50 214 92
02:57:205	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 18 50 211 79
02:57:314	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 20 50 212 77
02:57:314	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 25 50 212 83
02:57:315	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 29 50 212 78
02:57:315	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 30 50 210 82
02:57:315	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 31 50 212 91
02:57:315	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 34 50 212 77
02:57:315	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 37 50 212 87
02:57:316	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 41 50 215 100
02:57:385	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 42 50 213 87
02:57:385	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 43 50 214 99
02:57:386	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 44 50 213 88
02:57:386	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 45 50 211 66
02:57:386	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 46 50 214 93
02:57:386	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 47 50 212 86
02:57:401	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 48 50 215 101
02:57:420	Tue Apr 10 01:02:57 PDT 2012 17 3 41 2 0 49 50 214 92
02:57:530	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 0 50 215 98
02:57:530	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 1 50 212 77
02:57:531	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 2 50 213 84
02:57:531	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 3 50 212 93
02:57:531	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 5 50 211 85
02:57:531	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 6 50 212 90
02:57:531	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 7 50 212 83
02:57:531	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 12 50 211 77
02:57:637	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 13 50 212 82
02:57:638	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 27 50 212 87
02:57:638	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 34 50 212 76
02:57:638	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 35 50 212 91
02:57:638	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 36 50 212 84
02:57:638	Tue Apr 10 01:02:57 PDT 2012 18 3 41 2 0 42 50 211 78
02:57:639	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 0 50 212 81
02:57:639	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 1 50 212 81
02:57:689	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 8 50 211 66
02:57:689	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 13 50 212 72
02:57:689	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 14 50 212 62
02:57:690	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 15 50 212 83
02:57:690	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 16 50 212 80
02:57:708	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 17 50 212 79
02:57:725	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 18 50 212 74
02:57:837	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 19 50 212 85
02:57:838	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 20 50 212 77
02:57:838	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 22 50 213 94
02:57:838	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 25 50 212 76
02:57:838	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 26 50 212 83
02:57:838	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 27 50 212 83
02:57:838	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 28 50 213 87
02:57:839	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 31 50 211 84
02:57:945	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 32 50 212 87
02:57:945	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 33 50 213 85
02:57:946	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 34 50 213 93
02:57:947	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 36 50 212 92
02:57:947	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 37 50 217 103
02:57:947	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 38 50 222 107
02:57:947	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 39 50 217 102
02:57:947	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 41 50 235 108
02:57:997	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 42 50 221 107
02:57:998	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 43 50 231 105
02:57:998	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 44 50 233 107
02:57:998	Tue Apr 10 01:02:57 PDT 2012 19 3 41 2 0 45 50 235 106
