FlushFlashMemory command sent, waiting for new packets
01:33:89	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 28 50 209 80
01:33:90	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 30 50 209 80
01:33:90	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 32 50 210 96
01:33:90	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 33 50 210 85
01:33:90	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 34 50 210 93
01:33:90	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 35 50 210 95
01:33:90	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 36 50 209 83
01:33:91	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 37 50 211 93
01:33:145	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 39 50 208 75
01:33:145	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 40 50 209 80
01:33:146	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 41 50 208 75
01:33:146	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 45 50 211 96
01:33:146	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 47 50 210 93
01:33:161	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 48 50 210 95
01:33:172	Tue Apr 10 01:01:33 PDT 2012 17 3 41 0 2 49 50 208 71
01:33:286	Tue Apr 10 01:01:33 PDT 2012 18 3 41 0 2 0 50 208 89
01:33:286	Tue Apr 10 01:01:33 PDT 2012 18 3 41 0 2 1 50 208 77
01:33:286	Tue Apr 10 01:01:33 PDT 2012 18 3 41 0 2 2 50 208 74
01:33:286	Tue Apr 10 01:01:33 PDT 2012 18 3 41 0 2 3 50 210 102
01:33:287	Tue Apr 10 01:01:33 PDT 2012 18 3 41 0 2 4 50 212 98
01:33:287	Tue Apr 10 01:01:33 PDT 2012 18 3 41 0 2 7 50 208 81
01:33:287	Tue Apr 10 01:01:33 PDT 2012 18 3 41 0 2 8 50 209 82
01:33:287	Tue Apr 10 01:01:33 PDT 2012 18 3 41 0 2 10 50 209 82
01:33:397	Tue Apr 10 01:01:33 PDT 2012 18 3 41 0 2 16 50 208 80
01:33:398	Tue Apr 10 01:01:33 PDT 2012 18 3 41 0 2 17 50 208 65
01:33:398	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 0 50 208 86
01:33:398	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 1 50 209 85
01:33:398	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 3 50 210 93
01:33:398	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 4 50 209 83
01:33:398	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 5 50 211 90
01:33:400	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 6 50 209 91
01:33:453	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 7 50 210 95
01:33:453	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 12 50 214 105
01:33:453	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 13 50 210 99
01:33:453	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 14 50 211 94
01:33:454	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 15 50 209 88
01:33:466	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 16 50 209 82
01:33:577	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 18 50 209 88
01:33:578	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 19 50 210 98
01:33:578	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 20 50 209 90
01:33:578	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 21 50 209 84
01:33:578	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 23 50 209 89
01:33:578	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 24 50 211 94
01:33:578	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 25 50 209 78
01:33:579	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 27 50 210 98
01:33:689	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 28 50 210 98
